"dep","dur","mem","jour","temp","prec","pointe"
2021-09-27 06:39:07,1277,0,"lundi",13.6,3.1,1
2021-09-27 09:09:32,735,0,"lundi",13.6,3.1,1
2021-09-06 05:52:32,753,0,"lundi",17.4,6.3,3
2021-09-13 21:53:05,605,0,"lundi",17.3,0.2,3
2021-09-20 14:50:41,937,0,"lundi",17.3,0,3
2021-09-06 05:24:11,692,0,"lundi",17.4,6.3,3
2021-09-27 19:53:22,724,0,"lundi",13.6,3.1,3
2021-09-20 16:38:47,967,0,"lundi",17.3,0,2
2021-09-13 17:08:13,1030,0,"lundi",17.3,0.2,2
2021-09-20 17:05:19,433,0,"lundi",17.3,0,2
2021-09-27 17:57:28,414,0,"lundi",13.6,3.1,2
2021-09-27 17:18:33,1814,0,"lundi",13.6,3.1,2
2021-10-25 08:31:32,442,0,"lundi",6.5,0.5,1
2021-10-04 08:24:40,524,0,"lundi",12.2,0,1
2021-10-18 08:15:51,1491,0,"lundi",9.7,0.7,1
2021-10-04 09:22:41,302,0,"lundi",12.2,0,1
2021-10-25 07:37:26,487,0,"lundi",6.5,0.5,1
2021-10-04 21:30:07,939,0,"lundi",12.2,0,3
2021-10-11 12:45:55,1415,0,"lundi",18.4,0,3
2021-10-25 19:18:59,657,0,"lundi",6.5,0.5,3
2021-10-18 20:21:28,620,0,"lundi",9.7,0.7,3
2021-10-11 13:56:44,2095,0,"lundi",18.4,0,3
2021-10-11 16:58:17,553,0,"lundi",18.4,0,2
2021-10-25 16:49:11,1218,0,"lundi",6.5,0.5,2
2021-10-11 17:07:18,3197,0,"lundi",18.4,0,2
2021-10-18 18:37:29,997,0,"lundi",9.7,0.7,2
2021-10-11 15:58:49,112,0,"lundi",18.4,0,2
2021-05-15 07:41:52,1053,0,"samedi",17.7,0.2,1
2021-05-29 09:57:00,485,0,"samedi",11.4,0,1
2021-05-08 08:40:45,3599,0,"samedi",11.7,0,1
2021-05-22 09:23:11,202,0,"samedi",23.6,0.3,1
2021-05-08 07:38:21,330,0,"samedi",11.7,0,1
2021-05-29 22:48:33,1156,0,"samedi",11.4,0,3
2021-05-29 19:07:48,2330,0,"samedi",11.4,0,3
2021-05-29 14:56:47,2658,0,"samedi",11.4,0,3
2021-05-15 20:41:24,1242,0,"samedi",17.7,0.2,3
2021-05-08 10:55:13,490,0,"samedi",11.7,0,3
2021-05-08 17:00:17,2267,0,"samedi",11.7,0,2
2021-05-15 17:03:10,876,0,"samedi",17.7,0.2,2
2021-05-22 17:54:46,1723,0,"samedi",23.6,0.3,2
2021-05-15 15:26:34,1791,0,"samedi",17.7,0.2,2
2021-05-15 18:10:59,1844,0,"samedi",17.7,0.2,2
2021-06-12 09:41:12,1013,0,"samedi",19.3,0,1
2021-06-19 09:46:50,1054,0,"samedi",20.7,1.9,1
2021-06-19 09:45:34,1458,0,"samedi",20.7,1.9,1
2021-06-12 07:02:08,245,0,"samedi",19.3,0,1
2021-06-12 09:07:41,566,0,"samedi",19.3,0,1
2021-06-12 00:21:45,2369,0,"samedi",19.3,0,3
2021-06-12 13:45:03,950,0,"samedi",19.3,0,3
2021-06-12 20:42:23,2267,0,"samedi",19.3,0,3
2021-06-05 02:16:34,980,0,"samedi",22.4,14.2,3
2021-06-12 00:32:34,1193,0,"samedi",19.3,0,3
2021-06-19 17:54:26,3703,0,"samedi",20.7,1.9,2
2021-06-12 16:50:38,810,0,"samedi",19.3,0,2
2021-06-19 18:44:40,1438,0,"samedi",20.7,1.9,2
2021-06-19 15:27:46,562,0,"samedi",20.7,1.9,2
2021-06-05 17:12:51,1407,0,"samedi",22.4,14.2,2
2021-07-24 09:31:42,841,0,"samedi",21.9,0.6,1
2021-07-10 09:51:18,615,0,"samedi",19,0,1
2021-07-17 09:07:07,3479,0,"samedi",21.7,0,1
2021-07-03 09:58:21,1502,0,"samedi",16.5,0,1
2021-07-10 09:23:47,2220,0,"samedi",19,0,1
2021-07-24 03:25:06,465,0,"samedi",21.9,0.6,3
2021-07-31 11:29:59,458,0,"samedi",17.9,0,3
2021-07-03 12:09:24,4130,0,"samedi",16.5,0,3
2021-07-24 13:06:29,3750,0,"samedi",21.9,0.6,3
2021-07-24 05:08:26,1689,0,"samedi",21.9,0.6,3
2021-07-10 18:11:53,771,0,"samedi",19,0,2
2021-07-17 17:00:57,1642,0,"samedi",21.7,0,2
2021-07-03 18:15:25,807,0,"samedi",16.5,0,2
2021-07-03 18:47:58,1413,0,"samedi",16.5,0,2
2021-07-03 15:14:18,874,0,"samedi",16.5,0,2
2021-08-07 09:38:08,192,0,"samedi",23.6,0.8,1
2021-08-21 09:38:43,861,0,"samedi",27.5,0,1
2021-08-21 07:02:06,3472,0,"samedi",27.5,0,1
2021-08-21 09:27:56,1192,0,"samedi",27.5,0,1
2021-08-28 08:37:33,280,0,"samedi",18.9,0,1
2021-08-28 03:29:14,783,0,"samedi",18.9,0,3
2021-08-21 10:25:12,3204,0,"samedi",27.5,0,3
2021-08-14 20:11:57,1153,0,"samedi",20.9,0.2,3
2021-08-07 11:37:52,625,0,"samedi",23.6,0.8,3
2021-08-14 14:06:50,891,0,"samedi",20.9,0.2,3
2021-08-07 17:51:41,2616,0,"samedi",23.6,0.8,2
2021-08-14 17:21:35,3994,0,"samedi",20.9,0.2,2
2021-08-21 17:47:47,296,0,"samedi",27.5,0,2
2021-08-07 18:44:33,486,0,"samedi",23.6,0.8,2
2021-08-14 16:10:16,281,0,"samedi",20.9,0.2,2
2021-09-04 09:39:42,283,0,"samedi",19,0,1
2021-09-25 09:38:53,1355,0,"samedi",16.7,0,1
2021-09-04 07:27:58,172,0,"samedi",19,0,1
2021-09-25 09:25:27,995,0,"samedi",16.7,0,1
2021-09-04 08:43:31,605,0,"samedi",19,0,1
2021-09-18 20:18:21,989,0,"samedi",18.7,0,3
2021-09-18 19:43:00,1038,0,"samedi",18.7,0,3
2021-09-25 19:58:04,1296,0,"samedi",16.7,0,3
2021-09-04 13:44:41,270,0,"samedi",19,0,3
2021-09-11 21:12:06,835,0,"samedi",18.4,0,3
2021-09-11 15:47:52,244,0,"samedi",18.4,0,2
2021-09-11 17:11:22,735,0,"samedi",18.4,0,2
2021-09-18 17:00:50,1146,0,"samedi",18.7,0,2
2021-09-04 17:44:48,336,0,"samedi",19,0,2
2021-09-11 17:13:04,1462,0,"samedi",18.4,0,2
2021-10-09 06:53:03,478,0,"samedi",16,0,1
2021-10-02 07:45:45,557,0,"samedi",11.9,11.4,1
2021-10-30 07:14:02,649,0,"samedi",8.2,11.6,1
2021-10-16 06:59:18,176,0,"samedi",15.8,18.7,1
2021-10-09 09:43:18,2061,0,"samedi",16,0,1
2021-10-09 00:02:31,1031,0,"samedi",16,0,3
2021-10-09 22:52:45,997,0,"samedi",16,0,3
2021-10-23 12:16:56,1189,0,"samedi",4.9,0,3
2021-10-23 14:23:01,1777,0,"samedi",4.9,0,3
2021-10-09 10:29:01,3221,0,"samedi",16,0,3
2021-10-23 16:11:11,860,0,"samedi",4.9,0,2
2021-10-30 18:37:46,1018,0,"samedi",8.2,11.6,2
2021-10-02 17:42:00,553,0,"samedi",11.9,11.4,2
2021-10-09 16:47:41,2393,0,"samedi",16,0,2
2021-10-02 15:03:27,338,0,"samedi",11.9,11.4,2
2021-05-30 09:58:53,675,0,"dimanche",13.6,0.9,1
2021-05-16 09:58:40,616,0,"dimanche",15.8,0.3,1
2021-05-30 08:24:34,375,0,"dimanche",13.6,0.9,1
2021-05-02 08:27:37,408,0,"dimanche",10,0,1
2021-05-30 09:11:14,1434,0,"dimanche",13.6,0.9,1
2021-05-02 12:44:36,451,0,"dimanche",10,0,3
2021-05-16 14:23:32,915,0,"dimanche",15.8,0.3,3
2021-05-30 11:25:22,348,0,"dimanche",13.6,0.9,3
2021-05-23 19:46:32,418,0,"dimanche",15.8,0.5,3
2021-05-23 20:13:29,522,0,"dimanche",15.8,0.5,3
2021-05-23 17:21:10,661,0,"dimanche",15.8,0.5,2
2021-05-30 15:28:16,1087,0,"dimanche",13.6,0.9,2
2021-05-16 18:08:10,1631,0,"dimanche",15.8,0.3,2
2021-05-09 16:47:45,877,0,"dimanche",11.4,0,2
2021-05-09 17:24:31,2904,0,"dimanche",11.4,0,2
2021-06-27 09:06:58,382,0,"dimanche",26.9,0,1
2021-06-20 08:49:54,3044,0,"dimanche",21.8,0,1
2021-06-20 09:52:17,508,0,"dimanche",21.8,0,1
2021-06-27 06:25:35,891,0,"dimanche",26.9,0,1
2021-06-20 09:32:56,1852,0,"dimanche",21.8,0,1
2021-06-20 02:07:00,142,0,"dimanche",21.8,0,3
2021-06-20 14:01:12,205,0,"dimanche",21.8,0,3
2021-06-27 22:33:09,2781,0,"dimanche",26.9,0,3
2021-06-06 12:03:43,975,0,"dimanche",24.5,0,3
2021-06-27 14:21:05,514,0,"dimanche",26.9,0,3
2021-06-13 17:30:39,3140,0,"dimanche",21.6,2.8,2
2021-06-20 17:46:50,2633,0,"dimanche",21.8,0,2
2021-06-20 18:22:29,400,0,"dimanche",21.8,0,2
2021-06-27 15:20:57,1369,0,"dimanche",26.9,0,2
2021-06-20 17:02:39,1027,0,"dimanche",21.8,0,2
2021-07-18 08:03:52,773,0,"dimanche",21.8,0,1
2021-07-11 09:41:01,804,0,"dimanche",21,0,1
2021-07-04 09:38:06,2910,0,"dimanche",18.4,0,1
2021-07-04 08:40:16,809,0,"dimanche",18.4,0,1
2021-07-11 09:40:28,542,0,"dimanche",21,0,1
2021-07-25 20:59:51,1517,0,"dimanche",22.8,13.9,3
2021-07-11 20:20:15,953,0,"dimanche",21,0,3
2021-07-25 10:16:58,1130,0,"dimanche",22.8,13.9,3
2021-07-18 19:22:44,100,0,"dimanche",21.8,0,3
2021-07-11 14:09:31,1408,0,"dimanche",21,0,3
2021-07-04 18:22:02,4974,0,"dimanche",18.4,0,2
2021-07-11 18:23:56,694,0,"dimanche",21,0,2
2021-07-04 17:30:16,562,0,"dimanche",18.4,0,2
2021-07-18 15:40:42,502,0,"dimanche",21.8,0,2
2021-07-18 18:54:20,665,0,"dimanche",21.8,0,2
2021-08-15 09:22:37,1330,0,"dimanche",18.2,0,1
2021-08-08 09:56:23,215,0,"dimanche",24,0,1
2021-08-22 06:34:36,930,0,"dimanche",28.2,0,1
2021-08-08 09:56:20,1032,0,"dimanche",24,0,1
2021-08-29 08:25:11,216,0,"dimanche",19.3,6.5,1
2021-08-08 13:57:03,953,0,"dimanche",24,0,3
2021-08-22 00:39:09,466,0,"dimanche",28.2,0,3
2021-08-22 13:35:49,736,0,"dimanche",28.2,0,3
2021-08-15 14:46:33,69,0,"dimanche",18.2,0,3
2021-08-22 02:55:59,504,0,"dimanche",28.2,0,3
2021-08-22 17:32:28,1663,0,"dimanche",28.2,0,2
2021-08-29 17:29:02,922,0,"dimanche",19.3,6.5,2
2021-08-01 17:47:30,1980,0,"dimanche",16.9,0,2
2021-08-22 17:42:39,743,0,"dimanche",28.2,0,2
