"dep","dur","mem","jour","temp","prec","pointe"
2021-10-25 08:25:56,434,0,"lundi",6.5,0.5,1
2021-10-04 08:27:16,542,0,"lundi",12.2,0,1
2021-10-11 08:51:51,1356,0,"lundi",18.4,0,1
2021-10-18 08:38:25,725,0,"lundi",9.7,0.7,1
2021-10-11 19:47:38,841,0,"lundi",18.4,0,3
2021-10-04 14:44:35,454,0,"lundi",12.2,0,3
2021-10-11 19:41:09,321,0,"lundi",18.4,0,3
2021-10-25 21:48:32,290,0,"lundi",6.5,0.5,3
2021-10-11 01:43:08,1718,0,"lundi",18.4,0,3
2021-10-11 18:04:53,167,0,"lundi",18.4,0,2
2021-10-11 18:51:38,532,0,"lundi",18.4,0,2
2021-10-18 15:41:03,966,0,"lundi",9.7,0.7,2
2021-10-18 18:03:48,370,0,"lundi",9.7,0.7,2
2021-10-11 16:28:36,477,0,"lundi",18.4,0,2
2021-05-29 09:38:32,272,0,"samedi",11.4,0,1
2021-05-08 09:46:44,2215,0,"samedi",11.7,0,1
2021-05-22 08:48:38,2931,0,"samedi",23.6,0.3,1
2021-05-29 07:37:40,864,0,"samedi",11.4,0,1
2021-05-08 08:26:21,2123,0,"samedi",11.7,0,1
2021-05-29 00:37:56,2675,0,"samedi",11.4,0,3
2021-05-29 11:34:53,660,0,"samedi",11.4,0,3
2021-05-29 13:23:41,841,0,"samedi",11.4,0,3
2021-05-29 00:35:38,944,0,"samedi",11.4,0,3
2021-05-15 11:20:15,371,0,"samedi",17.7,0.2,3
2021-05-08 15:02:15,1318,0,"samedi",11.7,0,2
2021-05-15 15:14:24,1419,0,"samedi",17.7,0.2,2
2021-05-22 17:48:01,2659,0,"samedi",23.6,0.3,2
2021-05-15 15:08:01,602,0,"samedi",17.7,0.2,2
2021-05-08 15:11:08,2764,0,"samedi",11.7,0,2
2021-06-19 09:24:08,1678,0,"samedi",20.7,1.9,1
2021-06-12 08:39:42,337,0,"samedi",19.3,0,1
2021-06-05 09:53:04,542,0,"samedi",22.4,14.2,1
2021-06-26 09:34:21,728,0,"samedi",21.4,20.8,1
2021-06-19 09:43:57,749,0,"samedi",20.7,1.9,1
2021-06-05 19:38:29,1139,0,"samedi",22.4,14.2,3
2021-06-19 20:18:46,474,0,"samedi",20.7,1.9,3
2021-06-19 13:57:41,1067,0,"samedi",20.7,1.9,3
2021-06-26 01:47:14,574,0,"samedi",21.4,20.8,3
2021-06-19 11:11:10,1348,0,"samedi",20.7,1.9,3
2021-06-05 17:14:01,1684,0,"samedi",22.4,14.2,2
2021-06-05 16:34:04,1432,0,"samedi",22.4,14.2,2
2021-06-19 18:22:02,2349,0,"samedi",20.7,1.9,2
2021-06-26 17:02:02,782,0,"samedi",21.4,20.8,2
2021-06-12 18:07:59,1697,0,"samedi",19.3,0,2
2021-07-31 09:56:46,1051,0,"samedi",17.9,0,1
2021-07-31 09:01:20,1878,0,"samedi",17.9,0,1
2021-07-17 09:25:04,656,0,"samedi",21.7,0,1
2021-07-10 09:41:32,2257,0,"samedi",19,0,1
2021-07-03 08:02:35,629,0,"samedi",16.5,0,1
2021-07-03 23:48:42,677,0,"samedi",16.5,0,3
